,global_id,geometry,Caption,NameOfStation
0,1773539,POINT (37.6316766 55.7573154),metro,Китай-город
1,1773540,POINT (37.631205 55.756855),metro,Китай-город
2,1773541,POINT (37.6319506 55.7572362),metro,Китай-город
3,1773542,POINT (37.633082 55.753098),metro,Китай-город
4,1773543,POINT (37.633559 55.753072),metro,Китай-город
5,1773544,POINT (37.6341765 55.7541345),metro,Китай-город
6,1773545,POINT (37.634966 55.754114),metro,Китай-город
7,1773546,POINT (37.629468 55.75664),metro,Китай-город
8,1773547,POINT (37.5392381 55.6553856),metro,Калужская
9,1773548,POINT (37.7526435 55.660114),metro,Братиславская
10,1773549,POINT (37.7517426 55.6600507),metro,Братиславская
11,1773550,POINT (37.5416454 55.5450107),metro,Бульвар адмирала Ушакова
12,1773551,POINT (37.576311 55.570289),metro,Бульвар Дмитрия Донского
13,1773552,POINT (37.577084 55.57014),metro,Бульвар Дмитрия Донского
14,1773553,POINT (37.5149399 55.5376805),metro,Бунинская аллея
15,1773554,POINT (37.61792 55.653075),metro,Варшавская
16,1773555,POINT (37.620706 55.653163),metro,Варшавская
17,1773556,POINT (37.5402196 55.6563232),metro,Калужская
18,1773557,POINT (37.5409869 55.6581538),metro,Калужская
19,1773558,POINT (37.65712 55.634606),metro,Кантемировская
20,1773559,POINT (37.657574 55.635106),metro,Кантемировская
21,1773560,POINT (37.655263 55.63673),metro,Кантемировская
22,1773562,POINT (37.5418665 55.6578591),metro,Калужская
23,1773563,POINT (37.656097 55.636917),metro,Кантемировская
24,1773564,POINT (37.7521499 55.6599107),metro,Братиславская
25,1773565,POINT (37.54459 55.7733859),metro,Беговая
26,1773566,POINT (37.5446657 55.774),metro,Беговая
27,1773567,POINT (37.5488844 55.7732229),metro,Беговая
28,1773568,POINT (37.549137 55.774375),metro,Беговая
29,1773569,POINT (37.5826448 55.7753945),metro,Белорусская
30,1773570,POINT (37.58217 55.777269),metro,Белорусская
31,1773571,POINT (37.585696 55.777448),metro,Белорусская
32,1773572,POINT (37.5253262 55.6418619),metro,Беляево
33,1773573,POINT (37.5258884 55.64149),metro,Беляево
34,1773574,POINT (37.5267264 55.643846),metro,Беляево
35,1773577,POINT (37.564427 55.742922),metro,Киевская
36,1773579,POINT (37.567119 55.743792),metro,Киевская
37,1773580,POINT (37.56757 55.743743),metro,Киевская
38,1773581,POINT (37.630006 55.756247),metro,Китай-город
39,1773582,POINT (37.630777 55.757007),metro,Китай-город
40,1773583,POINT (37.538449 55.655638),metro,Калужская
41,1773584,POINT (37.5393716 55.6565991),metro,Калужская
42,1773592,POINT (37.487262 55.839091),metro,Водный стадион
43,1773593,POINT (37.4966084 55.8198862),metro,Войковская
44,1773594,POINT (37.4978475 55.8200536),metro,Войковская
45,1773595,POINT (37.5903673 55.8483448),metro,Владыкино
46,1773596,POINT (37.4861169 55.8405471),metro,Водный стадион
47,1773597,POINT (37.4980328 55.8180816),metro,Войковская
48,1773598,POINT (37.4990514 55.8183579),metro,Войковская
49,1773599,POINT (37.4995989 55.8178071),metro,Войковская
50,1773600,POINT (37.685034 55.7256857),metro,Волгоградский проспект
51,1773601,POINT (37.7564272 55.6907047),metro,Волжская
52,1773602,POINT (37.381439 55.836391),metro,Волоколамская
53,1773603,POINT (37.383293 55.834667),metro,Волоколамская
54,1773604,POINT (37.557696 55.709398),metro,Воробьёвы горы
55,1773605,POINT (37.5616417 55.7117344),metro,Воробьёвы горы
56,1773606,POINT (37.561082 55.71191),metro,Воробьёвы горы
57,1773607,POINT (37.557116 55.708847),metro,Воробьёвы горы
58,1773610,POINT (37.8191351 55.7158154),metro,Выхино
59,1773611,POINT (37.817477 55.716297),metro,Выхино
60,1773612,POINT (37.6386606 55.8242068),metro,Выставочный центр
61,1773613,POINT (37.556447 55.790523),metro,Динамо
62,1773614,POINT (37.559939 55.7889852),metro,Динамо
63,1773615,POINT (37.580249 55.807873),metro,Дмитровская
64,1773616,POINT (37.5814213 55.8080919),metro,Дмитровская
65,1773617,POINT (37.6227295 55.7290528),metro,Добрынинская
66,1773618,POINT (37.716543 55.610926),metro,Домодедовская
67,1773619,POINT (37.5272094 55.643437),metro,Беляево
68,1773620,POINT (37.6046466 55.884046),metro,Бибирево
69,1773621,POINT (37.601567 55.884215),metro,Бибирево
70,1773622,POINT (37.605269 55.88357),metro,Бибирево
71,1773623,POINT (37.6086853 55.7522884),metro,Александровский сад
72,1773624,POINT (37.7434206 55.6323743),metro,Борисово
73,1773625,POINT (37.7445891 55.6340555),metro,Борисово
74,1773626,POINT (37.638487 55.8459341),metro,Ботанический сад
75,1773627,POINT (37.6179177 55.6535532),metro,Варшавская
76,1773628,POINT (37.6230912 55.6536989),metro,Варшавская
77,1773629,POINT (37.6413856 55.8224642),metro,ВДНХ
78,1773630,POINT (37.6407422 55.8196763),metro,ВДНХ
79,1773631,POINT (37.6396426 55.8200023),metro,ВДНХ
80,1773633,POINT (37.6389383 55.8466671),metro,Ботанический сад
81,1773634,POINT (37.637514 55.843831),metro,Ботанический сад
82,1773635,POINT (37.639943 55.82028),metro,ВДНХ
83,1773637,POINT (37.687808 55.724559),metro,Волгоградский проспект
84,1773638,POINT (37.7511401 55.6911954),metro,Волжская
85,1773639,POINT (37.71815 55.610256),metro,Домодедовская
86,1773640,POINT (37.641058 55.819972),metro,ВДНХ
87,1773641,POINT (37.7515886 55.6910781),metro,Волжская
88,1773642,POINT (37.7552393 55.690745),metro,Волжская
89,1773643,POINT (37.716894 55.610249),metro,Домодедовская
90,1773644,POINT (37.7175836 55.6099729),metro,Домодедовская
91,1773645,POINT (37.720888 55.610893),metro,Домодедовская
92,1773646,POINT (37.580614 55.807779),metro,Дмитровская
93,1773647,POINT (37.5818692 55.8081488),metro,Дмитровская
94,1773648,POINT (37.6762283 55.7178288),metro,Дубровка
95,1773649,POINT (37.745559 55.6134881),metro,Зябликово
96,1773650,POINT (37.744236 55.6133905),metro,Зябликово
97,1773651,POINT (37.7798923 55.7877899),metro,Измайловская
98,1773652,POINT (37.7833622 55.7878638),metro,Измайловская
99,1773653,POINT (37.5189922 55.6343754),metro,Коньково
100,1773654,POINT (37.519367 55.632188),metro,Коньково
101,1773655,POINT (37.519875 55.63465),metro,Коньково
102,1773656,POINT (37.5199465 55.6340114),metro,Коньково
103,1773657,POINT (37.52053 55.633854),metro,Коньково
104,1773658,POINT (37.746215 55.6142123),metro,Красногвардейская
105,1773659,POINT (37.7462738 55.6136532),metro,Красногвардейская
106,1773660,POINT (37.7466762 55.6136652),metro,Красногвардейская
107,1773661,POINT (37.7465907 55.6142302),metro,Красногвардейская
108,1773662,POINT (37.7424333 55.6134561),metro,Красногвардейская
109,1773663,POINT (37.6935179 55.6138351),metro,Орехово
110,1773664,POINT (37.6940766 55.6141812),metro,Орехово
111,1773665,POINT (37.604393 55.862542),metro,Отрадное
112,1773666,POINT (37.605332 55.864331),metro,Отрадное
113,1773667,POINT (37.606024 55.864174),metro,Отрадное
114,1773668,POINT (37.603694 55.862857),metro,Отрадное
115,1773669,POINT (37.6145304 55.7569836),metro,Охотный ряд
116,1773670,POINT (37.614546 55.756888),metro,Охотный ряд
117,1773671,POINT (37.7428056 55.6140271),metro,Красногвардейская
118,1773672,POINT (37.7429054 55.6134786),metro,Красногвардейская
119,1773673,POINT (37.7423932 55.6140076),metro,Красногвардейская
120,1773674,POINT (37.5769305 55.760413),metro,Краснопресненская
121,1773675,POINT (37.6660804 55.7799823),metro,Красносельская
122,1773676,POINT (37.648027 55.768377),metro,Красные ворота
123,1773677,POINT (37.6503572 55.7697611),metro,Красные ворота
124,1773678,POINT (37.6655383 55.7323251),metro,Крестьянская застава
125,1773679,POINT (37.6053316 55.7456522),metro,Кропоткинская
126,1773680,POINT (37.6015583 55.7449791),metro,Кропоткинская
127,1773681,POINT (37.407313 55.757872),metro,Крылатское
128,1773682,POINT (37.407621 55.755583),metro,Крылатское
129,1773683,POINT (37.408601 55.755375),metro,Крылатское
130,1773684,POINT (37.408585 55.757724),metro,Крылатское
131,1773685,POINT (37.40738 55.757423),metro,Крылатское
132,1773686,POINT (37.408542 55.758057),metro,Крылатское
133,1773687,POINT (37.408899 55.755663),metro,Крылатское
134,1773688,POINT (37.407686 55.755342),metro,Крылатское
135,1773689,POINT (37.555321 55.671235),metro,Новые Черёмушки
136,1773690,POINT (37.611311 55.729349),metro,Октябрьская
137,1773691,POINT (37.6126133 55.7313189),metro,Октябрьская
138,1773692,POINT (37.4922446 55.7939801),metro,Октябрьское поле
139,1773693,POINT (37.4919278 55.7941438),metro,Октябрьское поле
140,1773694,POINT (37.4925294 55.7941853),metro,Октябрьское поле
141,1773695,POINT (37.4922657 55.7943253),metro,Октябрьское поле
142,1773696,POINT (37.55586 55.671056),metro,Новые Черёмушки
143,1773697,POINT (37.4944062 55.7928291),metro,Октябрьское поле
144,1773698,POINT (37.635364 55.753728),metro,Китай-город
145,1773699,POINT (37.685432 55.70614),metro,Кожуховская
146,1773700,POINT (37.685532 55.706341),metro,Кожуховская
147,1773701,POINT (37.6627956 55.676834),metro,Коломенская
148,1773702,POINT (37.662975 55.677695),metro,Коломенская
149,1773703,POINT (37.663336 55.679291),metro,Коломенская
150,1773704,POINT (37.664333 55.676735),metro,Коломенская
151,1773705,POINT (37.6645394 55.6776258),metro,Коломенская
152,1773706,POINT (37.664952 55.679487),metro,Коломенская
153,1773707,POINT (37.664904 55.679214),metro,Коломенская
154,1773708,POINT (37.6634398 55.6795598),metro,Коломенская
155,1773709,POINT (37.655289 55.775717),metro,Комсомольская
156,1773710,POINT (37.6558575 55.7753031),metro,Комсомольская
157,1773711,POINT (37.6563189 55.7749342),metro,Комсомольская
158,1773712,POINT (37.655917 55.77673),metro,Комсомольская
159,1773713,POINT (37.656078 55.7755021),metro,Комсомольская
160,1773714,POINT (37.655895 55.775835),metro,Комсомольская
161,1773715,POINT (37.5180365 55.6325183),metro,Коньково
162,1773716,POINT (37.601021 55.779503),metro,Новослободская
163,1773717,POINT (37.553025 55.601448),metro,Новоясеневская
164,1773718,POINT (37.5528887 55.6019926),metro,Новоясеневская
165,1773719,POINT (37.5536016 55.6696118),metro,Новые Черёмушки
166,1773720,POINT (37.5541228 55.6694298),metro,Новые Черёмушки
167,1773721,POINT (37.494672 55.7927107),metro,Октябрьское поле
168,1773722,POINT (37.494715 55.7930327),metro,Октябрьское поле
169,1773723,POINT (37.4949407 55.7929182),metro,Октябрьское поле
170,1773724,POINT (37.695852 55.612207),metro,Орехово
171,1773725,POINT (37.587564 55.708543),metro,Ленинский проспект
172,1773726,POINT (37.626024 55.759018),metro,Лубянка
173,1773727,POINT (37.626322 55.758812),metro,Лубянка
174,1773728,POINT (37.627157 55.758934),metro,Лубянка
175,1773729,POINT (37.628067 55.759222),metro,Лубянка
176,1773730,POINT (37.627963 55.760009),metro,Лубянка
177,1773731,POINT (37.628469 55.759583),metro,Лубянка
178,1773732,POINT (37.628384 55.759958),metro,Лубянка
179,1773733,POINT (37.625869 55.758992),metro,Лубянка
180,1773734,POINT (37.7610191 55.674484),metro,Люблино
