,Unnamed: 0,global_id,Caption,NameOfStation,lat,long
0,0,1773539,metro,Китай-город,55.7573154,37.6316766
1,1,1773540,metro,Китай-город,55.756855,37.631205
2,2,1773541,metro,Китай-город,55.7572362,37.6319506
3,3,1773542,metro,Китай-город,55.753098,37.633082
4,4,1773543,metro,Китай-город,55.753072,37.633559
5,5,1773544,metro,Китай-город,55.7541345,37.6341765
6,6,1773545,metro,Китай-город,55.754114,37.634966
7,7,1773546,metro,Китай-город,55.75664,37.629468
8,8,1773547,metro,Калужская,55.6553856,37.5392381
9,9,1773548,metro,Братиславская,55.660114,37.7526435
10,10,1773549,metro,Братиславская,55.6600507,37.7517426
11,11,1773550,metro,Бульвар адмирала Ушакова,55.5450107,37.5416454
12,12,1773551,metro,Бульвар Дмитрия Донского,55.570289,37.576311
13,13,1773552,metro,Бульвар Дмитрия Донского,55.57014,37.577084
14,14,1773553,metro,Бунинская аллея,55.5376805,37.5149399
15,15,1773554,metro,Варшавская,55.653075,37.61792
16,16,1773555,metro,Варшавская,55.653163,37.620706
17,17,1773556,metro,Калужская,55.6563232,37.5402196
18,18,1773557,metro,Калужская,55.6581538,37.5409869
19,19,1773558,metro,Кантемировская,55.634606,37.65712
20,20,1773559,metro,Кантемировская,55.635106,37.657574
21,21,1773560,metro,Кантемировская,55.63673,37.655263
22,22,1773562,metro,Калужская,55.6578591,37.5418665
23,23,1773563,metro,Кантемировская,55.636917,37.656097
24,24,1773564,metro,Братиславская,55.6599107,37.7521499
25,25,1773565,metro,Беговая,55.7733859,37.54459
26,26,1773566,metro,Беговая,55.774,37.5446657
27,27,1773567,metro,Беговая,55.7732229,37.5488844
28,28,1773568,metro,Беговая,55.774375,37.549137
29,29,1773569,metro,Белорусская,55.7753945,37.5826448
30,30,1773570,metro,Белорусская,55.777269,37.58217
31,31,1773571,metro,Белорусская,55.777448,37.585696
32,32,1773572,metro,Беляево,55.6418619,37.5253262
33,33,1773573,metro,Беляево,55.64149,37.5258884
34,34,1773574,metro,Беляево,55.643846,37.5267264
35,35,1773577,metro,Киевская,55.742922,37.564427
36,36,1773579,metro,Киевская,55.743792,37.567119
37,37,1773580,metro,Киевская,55.743743,37.56757
38,38,1773581,metro,Китай-город,55.756247,37.630006
39,39,1773582,metro,Китай-город,55.757007,37.630777
40,40,1773583,metro,Калужская,55.655638,37.538449
41,41,1773584,metro,Калужская,55.6565991,37.5393716
42,42,1773592,metro,Водный стадион,55.839091,37.487262
43,43,1773593,metro,Войковская,55.8198862,37.4966084
44,44,1773594,metro,Войковская,55.8200536,37.4978475
45,45,1773595,metro,Владыкино,55.8483448,37.5903673
46,46,1773596,metro,Водный стадион,55.8405471,37.4861169
47,47,1773597,metro,Войковская,55.8180816,37.4980328
48,48,1773598,metro,Войковская,55.8183579,37.4990514
49,49,1773599,metro,Войковская,55.8178071,37.4995989
50,50,1773600,metro,Волгоградский проспект,55.7256857,37.685034
51,51,1773601,metro,Волжская,55.6907047,37.7564272
52,52,1773602,metro,Волоколамская,55.836391,37.381439
53,53,1773603,metro,Волоколамская,55.834667,37.383293
54,54,1773604,metro,Воробьёвы горы,55.709398,37.557696
55,55,1773605,metro,Воробьёвы горы,55.7117344,37.5616417
56,56,1773606,metro,Воробьёвы горы,55.71191,37.561082
57,57,1773607,metro,Воробьёвы горы,55.708847,37.557116
58,58,1773610,metro,Выхино,55.7158154,37.8191351
59,59,1773611,metro,Выхино,55.716297,37.817477
60,60,1773612,metro,Выставочный центр,55.8242068,37.6386606
61,61,1773613,metro,Динамо,55.790523,37.556447
62,62,1773614,metro,Динамо,55.7889852,37.559939
63,63,1773615,metro,Дмитровская,55.807873,37.580249
64,64,1773616,metro,Дмитровская,55.8080919,37.5814213
65,65,1773617,metro,Добрынинская,55.7290528,37.6227295
66,66,1773618,metro,Домодедовская,55.610926,37.716543
67,67,1773619,metro,Беляево,55.643437,37.5272094
68,68,1773620,metro,Бибирево,55.884046,37.6046466
69,69,1773621,metro,Бибирево,55.884215,37.601567
70,70,1773622,metro,Бибирево,55.88357,37.605269
71,71,1773623,metro,Александровский сад,55.7522884,37.6086853
72,72,1773624,metro,Борисово,55.6323743,37.7434206
73,73,1773625,metro,Борисово,55.6340555,37.7445891
74,74,1773626,metro,Ботанический сад,55.8459341,37.638487
75,75,1773627,metro,Варшавская,55.6535532,37.6179177
76,76,1773628,metro,Варшавская,55.6536989,37.6230912
77,77,1773629,metro,ВДНХ,55.8224642,37.6413856
78,78,1773630,metro,ВДНХ,55.8196763,37.6407422
79,79,1773631,metro,ВДНХ,55.8200023,37.6396426
80,80,1773633,metro,Ботанический сад,55.8466671,37.6389383
81,81,1773634,metro,Ботанический сад,55.843831,37.637514
82,82,1773635,metro,ВДНХ,55.82028,37.639943
83,83,1773637,metro,Волгоградский проспект,55.724559,37.687808
84,84,1773638,metro,Волжская,55.6911954,37.7511401
85,85,1773639,metro,Домодедовская,55.610256,37.71815
86,86,1773640,metro,ВДНХ,55.819972,37.641058
87,87,1773641,metro,Волжская,55.6910781,37.7515886
88,88,1773642,metro,Волжская,55.690745,37.7552393
89,89,1773643,metro,Домодедовская,55.610249,37.716894
90,90,1773644,metro,Домодедовская,55.6099729,37.7175836
91,91,1773645,metro,Домодедовская,55.610893,37.720888
92,92,1773646,metro,Дмитровская,55.807779,37.580614
93,93,1773647,metro,Дмитровская,55.8081488,37.5818692
94,94,1773648,metro,Дубровка,55.7178288,37.6762283
95,95,1773649,metro,Зябликово,55.6134881,37.745559
96,96,1773650,metro,Зябликово,55.6133905,37.744236
97,97,1773651,metro,Измайловская,55.7877899,37.7798923
98,98,1773652,metro,Измайловская,55.7878638,37.7833622
99,99,1773653,metro,Коньково,55.6343754,37.5189922
100,100,1773654,metro,Коньково,55.632188,37.519367
101,101,1773655,metro,Коньково,55.63465,37.519875
102,102,1773656,metro,Коньково,55.6340114,37.5199465
